epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
54,785.647,0.08584,0.97674,1,0.09128,0.000507651,0.000507651,0.000507651
55,800.106,0.08793,0.98097,1,0.07802,0.0004936,0.0004936,0.0004936
56,812.762,0.05647,0.98309,1,0.06926,0.000479604,0.000479604,0.000479604
57,826.825,0.06446,0.98097,1,0.06954,0.000465678,0.000465678,0.000465678
58,842.045,0.10009,0.97674,1,0.08676,0.000451836,0.000451836,0.000451836
59,855.515,0.10117,0.9852,1,0.06097,0.00043809,0.00043809,0.00043809
60,870.928,0.06951,0.97886,1,0.09693,0.000424454,0.000424454,0.000424454
61,884.68,0.09861,0.98943,1,0.05113,0.000410942,0.000410942,0.000410942
62,898.437,0.06948,0.98309,1,0.06328,0.000397568,0.000397568,0.000397568
63,912.613,0.08529,0.98943,1,0.05361,0.000384344,0.000384344,0.000384344
64,927.215,0.0756,0.9852,1,0.05989,0.000371283,0.000371283,0.000371283
65,942.573,0.07291,0.9852,1,0.062,0.000358399,0.000358399,0.000358399
66,954.745,0.06862,0.98309,1,0.05411,0.000345704,0.000345704,0.000345704
67,971.314,0.0846,0.98731,1,0.06439,0.000333211,0.000333211,0.000333211
68,984.919,0.06602,0.9852,1,0.05502,0.000320931,0.000320931,0.000320931
69,1000.05,0.07832,0.98309,1,0.06125,0.000308878,0.000308878,0.000308878
70,1013.19,0.06744,0.9852,1,0.06333,0.000297062,0.000297062,0.000297062
71,1027.67,0.06931,0.9852,1,0.05202,0.000285497,0.000285497,0.000285497
72,1041.81,0.08212,0.98309,1,0.04871,0.000274192,0.000274192,0.000274192
73,1055.96,0.06074,0.98097,1,0.05329,0.000263159,0.000263159,0.000263159
74,1070.16,0.07219,0.9852,1,0.04977,0.00025241,0.00025241,0.00025241
75,1085.34,0.05645,0.98309,1,0.03954,0.000241954,0.000241954,0.000241954
76,1100.12,0.05043,0.98097,1,0.05317,0.000231802,0.000231802,0.000231802
